01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00
47823;47823;43444;41432;40508;38865;35817;35555;36263;38569;41078;44206;45108;44216;43870;43922;46880;51673;52934;52123;50288;50209;51361;48050
44990;43319;42327;41921;42697;44602;48751;55363;59779;62054;63978;65766;65965;65178;64080;63669;64871;67751;65494;65395;61546;59784;59486;54916
51829;49637;48680;48487;48975;49969;53502;59379;62764;64240;65613;66924;66890;65817;64798;64358;65730;68930;68462;66270;62782;60977;60251;56239
52859;50821;49464;49190;49824;50895;54410;60466;63306;64676;66058;67349;66987;66125;65285;64981;66346;69083;69137;66793;63158;61444;60893;56914
53612;51393;50016;49765;50219;51527;54993;60864;64401;65923;67398;68884;68619;67762;66904;66747;67559;69811;69336;67075;63324;61663;61344;57473
54131;51659;50412;50107;49880;50353;52352;56965;60110;61737;63287;64673;64465;62666;61315;61032;62412;65597;65062;62910;59585;58447;59013;56004
53384;51189;49771;48814;48256;46955;45335;47965;52069;55080;57131;58541;58389;57023;55879;56123;58006;61971;61729;59280;55797;54680;55846;53643
50815;48068;46263;45595;44661;42921;40004;40877;43548;47348;50425;53722;53304;51111;49698;49188;51425;57200;59011;58199;55698;55811;57368;54557
51983;50296;49342;49050;49604;52273;57473;66508;69029;68969;69553;70171;69877;69598;68650;68137;68817;72790;72365;70682;67282;65125;64316;60893
58523;57376;56567;55771;55879;56020;61632;68683;70489;69878;70404;71033;70751;70261;69471;68884;69466;73225;72929;70986;67225;65453;64891;61245
58392;56713;55458;54832;55110;56961;62184;69025;70903;70365;70814;71364;70875;70344;69729;69409;70701;74262;73501;71085;67118;65233;64196;59993
57001;54934;53541;53067;53492;55126;60726;67752;70029;69734;70332;71067;70494;70016;69271;68649;69322;72563;72136;70231;66672;64643;63672;59577
56234;54669;53601;53106;53766;55346;60940;67878;70179;70016;70674;70803;70154;68727;67281;66457;67659;72132;71849;69042;64744;63176;63396;60863
58544;56780;55523;54112;52934;51216;49198;51779;55118;57858;59637;60472;59843;57838;56117;55618;56848;62758;63510;61141;57637;56597;58090;55881
53440;51353;50067;49013;48102;46038;42470;43319;46616;50455;53355;56000;54976;52784;51228;50602;52076;58460;60698;59731;57711;57750;59727;57482
55462;54198;52872;51882;52067;54993;61382;68988;70782;70579;70854;70963;70635;70194;69364;68518;68274;73090;73515;71415;68137;65873;65062;61461
58640;57136;55883;55199;55369;57191;62659;69861;71750;71830;72505;73261;72945;72364;71928;71694;71736;74611;74040;71763;67807;65824;64234;59951
56762;54922;53690;53535;54712;56915;62686;69322;71029;70669;71503;72536;71628;71081;70395;69831;69647;73000;73145;70824;66901;65054;63689;59799
56471;55079;54167;53879;54474;56059;61441;68450;70127;69535;70160;70900;70204;69809;69361;68744;68714;72615;73013;70881;66842;64411;63733;59865
55827;54134;53218;52750;53250;55246;61120;68225;70518;70103;71179;72009;70971;69452;68096;67289;67797;71366;71186;68354;64330;62694;62658;58997
55662;53171;51979;51398;51245;49679;48471;51982;55722;58462;60227;61434;60470;58661;57230;56431;57284;61878;62456;60868;58336;57527;57049;54569
51659;49437;47976;47039;46697;44887;41694;42850;45748;49565;53051;56057;55343;53291;51715;51055;51724;56974;59535;58877;56611;56619;59304;57239
54823;53797;52935;51962;51961;54562;61313;68150;70131;69931;70574;71190;70705;70464;69544;68679;68049;72610;73838;72169;68908;66732;66707;63624
61156;59789;57968;56617;56322;57976;63302;69829;71080;70507;71095;71458;70855;70431;69674;69004;68765;73373;74295;72864;69337;67352;67025;63627
60707;58792;57385;56534;56656;58151;63584;70476;72075;71808;72618;73233;73041;72327;71527;70749;70631;73973;74232;72158;68702;66655;65995;62344
59666;57826;56697;56011;56168;57609;62782;69361;71284;71315;71572;72472;72145;71426;70727;69963;68986;72798;73799;72320;69013;67000;66376;63230
60793;59272;57996;56825;56575;57859;62832;69610;71149;70958;71237;71738;71330;69877;68334;67428;67009;71360;72689;70302;66843;64977;65691;63141
61033;58903;56838;55160;53816;51995;49539;52270;55770;58737;60352;61157;59894;58004;56167;55702;56004;61561;64034;61722;58021;56896;58704;56834
54950;52723;51140;49673;48587;46390;42936;44122;47093;50550;53056;55359;53893;51361;49652;48948;49690;55201;59406;58939;56888;56687;58519;56542
54860;53272;52268;51832;52459;54800;61058;68066;70054;70030;70205;70911;70461;69944;69100;68371;67674;71147;73155;71548;68136;65951;64868;60961
58451;56616;55494;54877;55501;57107;62319;69417;70802;70624;71182;71682;70836;70308;69238;68305;67315;70886;73201;71503;67844;65699;64565;60994
58814;57268;56160;55850;56080;57626;62822;69618;71052;70725;70800;71404;70831;70048;68970;67979;67275;70876;73290;71448;68343;66246;65771;62108
59544;57983;56812;56010;56008;57706;62758;69385;70899;70697;71305;71914;71703;71166;70462;69752;68934;71966;73483;72144;68734;66740;66296;62725
60135;58241;56815;56007;56169;57642;62769;69496;71153;71433;72136;72280;71594;70217;68857;67904;67415;70710;71740;69540;66222;64390;64506;61741
58809;56479;54705;53644;52855;50972;48820;51550;55565;59190;61426;62254;61145;59275;57494;57057;56859;61179;63122;60987;57326;56063;57893;56210
54252;51759;50086;49136;48269;46437;42845;43759;47068;50847;53535;56061;55154;52950;51687;50822;51106;55861;59991;59079;56781;56613;58698;55764
53705;52115;50976;50573;51088;53777;60841;67798;69706;70330;71163;72101;71776;71296;70687;69870;69004;70746;73428;71517;67960;66153;65168;61214
58238;56512;56020;55499;55947;57668;63832;70205;72506;72783;73586;74526;74138;73805;73193;72295;71279;72841;73968;71464;67673;65532;64485;60141
56769;54765;53457;53461;54166;56418;62317;68739;70878;71334;72492;73343;72525;72141;71379;70398;69161;71766;74162;72540;68895;67450;66452;62719
59938;58050;56692;56397;56783;58539;63848;69651;70904;71329;72193;73004;72635;72308;71489;70756;69391;71259;73561;71507;67844;66068;65298;61322
58301;56541;55246;54605;55304;57055;62044;68149;70075;70466;71130;71900;71237;69903;68691;67556;66887;69544;71286;68790;64868;63272;63034;59942
57106;54840;53399;52743;52197;50607;48829;51236;54801;58363;59888;61064;60221;58207;56545;55903;55773;59438;63007;61075;57247;56202;57390;55044
52085;49957;48738;48004;47284;45498;42254;42983;46197;49983;52576;55166;53882;51468;49888;49256;49414;53973;59232;58818;56552;55969;57992;54998
52486;50702;49891;49758;50652;53352;60355;66809;68566;69022;69322;70128;69374;68828;67768;66903;65363;67997;72597;70873;67427;65053;63882;59995
56839;55348;54092;53550;54263;55901;61619;67701;69344;69622;70321;71203;70379;70055;69364;68321;67054;69167;72506;70930;66994;64703;63608;59390
55938;53715;52746;52617;53517;55601;61192;67404;69717;70107;71230;72607;72483;72280;71335;70631;69703;71401;73483;71205;67336;64841;63663;58958
54884;52466;51381;51597;52845;54911;60709;66686;68677;68791;69552;70783;69783;69235;68101;66936;66280;68438;71759;70116;66095;63652;62419;58064
54443;52011;50974;51212;52463;54539;59907;65721;67595;67797;68805;69558;68678;67468;66314;65294;64392;66884;70416;68141;63760;61692;61158;57333
53801;51278;49945;50011;50149;49030;47682;50429;54049;57241;58543;59853;58796;56812;55152;54070;53719;56689;61191;59246;55433;54014;54539;51432
48082;45719;44586;44415;44553;43517;40719;41556;44553;47955;50588;53117;51742;49190;47695;46778;47043;50452;56769;57048;54633;54160;55741;51842
48679;46430;45914;46519;48183;51804;59178;65762;68027;68619;69511;70869;70401;70136;69200;68544;67150;68539;71558;70059;65985;63537;62714;57990
54617;52941;51899;52142;53310;55681;61334;67092;69081;69624;70250;71302;70647;69984;69231;68701;67582;69223;72778;71120;67704;64867;63270;58842
55507;53246;52072;52048;52911;55235;60860;66787;69273;69648;70916;72046;71409;70744;69973;68777;67315;68834;71819;70520;66722;64525;63122;58637
55668;53591;52639;52542;53286;54985;60620;66050;67836;68342;69221;70559;69960;69375;68296;67110;65819;66915;70376;69273;65612;63328;62770;58976
56010;54421;53279;53124;53554;55208;59929;64891;66761;67514;68427;69387;68589;67503;66520;65311;64353;65654;69776;68727;64912;62604;62118;58753
55920;53940;52384;51658;51187;49483;47764;49589;53594;56749;58375;59640;58222;56295;54689;54021;53774;56307;60836;59651;55981;54770;55893;53574
51227;48984;47745;46770;46053;44418;41299;41682;45453;49129;51991;54957;53720;50842;48932;48044;47771;49904;56205;57088;54919;54789;56954;54514
52603;51093;50064;49552;50027;51763;55703;59894;62862;64512;65946;66909;66156;64631;63253;62081;61166;62638;67475;67145;64033;62159;61858;58257
55722;53994;52838;52365;52827;54581;58734;63084;65927;67266;68627;69808;68961;67926;66877;65804;64563;66058;69921;69109;65699;63966;63042;59290
56223;54236;52733;52792;53517;55396;60149;64137;66676;67688;68898;70378;69751;69328;68458;67416;65636;66024;70381;70240;67279;65330;64776;61315
58639;56850;55579;54838;55030;56193;61045;64969;67296;67806;68834;69884;69374;68811;68249;67365;65689;66035;70214;70618;67086;64886;64333;60890
58077;55886;54512;53941;53960;55727;60424;64833;67064;68009;69399;70090;69290;67788;66510;65236;63924;64929;68638;68283;64124;61727;61905;58682
56003;53862;52342;51996;51500;49956;48082;49975;54094;57259;58775;59917;59035;57342;55905;55071;54403;55781;60542;60754;57334;55594;56659;54739
52386;50117;48416;47529;46928;45236;42565;43066;46455;49823;52088;55166;53926;51733;50027;49127;48775;50659;56650;58219;55969;55105;57008;54108
51700;49732;48845;48836;49604;52680;59450;64382;67245;67829;68943;69989;69797;69279;68331;67504;65688;65923;69566;70246;66264;63966;63099;58880
56113;53842;52650;52579;53465;55406;60507;64788;67121;67535;68386;69461;68917;68285;67172;66083;64463;64845;68820;69808;66012;64031;63249;59536
57051;55368;54264;53981;54667;56584;61278;65409;67603;68237;69559;70517;70498;70197;69773;68897;67352;67685;71320;71028;67231;64931;64023;59622
55810;53297;51834;51432;52003;54048;59570;64147;66574;67063;68000;69189;68553;68084;67280;66684;65211;65822;68881;69357;65456;62786;61671;57411
54091;51737;50424;50820;52056;54047;59401;63799;66245;66472;67669;68476;67949;66434;65022;64167;63039;63965;67638;67742;63640;61518;61105;57436
54526;52392;50778;50193;49857;48795;47037;49377;53959;57377;59445;60470;59373;57738;56461;55780;55104;56589;60129;60734;57284;56057;57366;55187
