"V1" "V2"
"1" 54120 32.1
"2" 53828 30.07
"3" 49187 27.94
"4" 46829 21.71
"5" 45721 8.24
"6" 44055 1.13
"7" 40733 0
"8" 40713 0
"9" 41668 0
"10" 44300 0.6
"11" 47153 6.96
"12" 50591 27.07
"13" 51384 28.33
"14" 50465 27.18
"15" 50117 26.74
"16" 50153 27.36
"17" 53483 31.9
"18" 58652 44.11
"19" 59956 44.49
"20" 59053 45.02
"21" 56848 35.57
"22" 56379 34.93
"23" 57862 41.92
"24" 54218 32.4
"25" 50890 34.25
"26" 48962 31.96
"27" 47851 28.18
"28" 47293 25.06
"29" 48178 26.93
"30" 50543 29.05
"31" 55210 36.65
"32" 62715 49.88
"33" 67619 53.52
"34" 70161 67.64
"35" 72228 76.18
"36" 74200 80.41
"37" 74277 88.63
"38" 73437 90.02
"39" 72270 75.97
"40" 71837 67.69
"41" 73340 69.07
"42" 76486 89.85
"43" 74111 88.68
"44" 73613 73.72
"45" 69319 60.01
"46" 67031 49.52
"47" 66899 49.56
"48" 61842 39.27
"49" 58312 38.05
"50" 55829 35.87
"51" 54671 32.58
"52" 54260 32.32
"53" 54824 32.35
"54" 56221 31.48
"55" 60187 27.87
"56" 66859 57.57
"57" 70636 73.52
"58" 72394 87.43
"59" 73905 90.06
"60" 75359 78.05
"61" 75112 77.31
"62" 73967 74.09
"63" 72910 73.02
"64" 72413 70.18
"65" 74072 69.62
"66" 77600 92.58
"67" 76996 91.03
"68" 74473 84.26
"69" 70527 68.09
"70" 68191 60.26
"71" 67648 60.79
"72" 63220 41.1
"73" 59381 39.11
"74" 57038 35.28
"75" 55491 35.03
"76" 54992 32.57
"77" 55690 32.56
"78" 57184 36.99
"79" 61140 36.09
"80" 68020 49.9
"81" 71253 69
"82" 72856 82.42
"83" 74367 86.59
"84" 75590 95.02
"85" 75240 92.09
"86" 74358 85.07
"87" 73430 81.99
"88" 73062 82.41
"89" 74677 80.95
"90" 77553 95.97
"91" 77597 92.94
"92" 74978 86.55
"93" 70917 68.07
"94" 68686 51.4
"95" 68334 53.66
"96" 63895 44.53
"97" 60187 49.11
"98" 57630 45.32
"99" 56081 40.42
"100" 55606 43.54
"101" 56106 44.2
"102" 57810 43.08
"103" 61697 34.54
"104" 68355 49.11
"105" 72365 66.55
"106" 74125 82.04
"107" 75735 82.43
"108" 77318 82.49
"109" 76859 86.5
"110" 75915 82.47
"111" 74950 79.6
"112" 74789 77.98
"113" 75827 86.7
"114" 78172 97.31
"115" 77789 90.65
"116" 75189 85.2
"117" 70930 65
"118" 68802 47.85
"119" 68677 55.22
"120" 64361 44.05
"121" 60580 42.83
"122" 57797 42.66
"123" 56348 38.73
"124" 55754 32.56
"125" 55448 27.43
"126" 55913 32.06
"127" 57733 11.1
"128" 62758 31.05
"129" 66256 34.15
"130" 68291 40.7
"131" 70171 47.1
"132" 71740 52.99
"133" 71292 48.53
"134" 69356 42.15
"135" 67859 37.33
"136" 67516 32.94
"137" 69203 40.19
"138" 72748 62.32
"139" 72225 63.11
"140" 69971 49.55
"141" 66324 53.34
"142" 64827 43.03
"143" 65788 47.9
"144" 62424 36.09
"145" 59454 40.97
"146" 56982 37.32
"147" 55381 39.51
"148" 54191 35.41
"149" 53615 34.97
"150" 52499 36.88
"151" 50903 32.79
"152" 54110 40.73
"153" 58647 45.19
"154" 61979 52.99
"155" 64168 65
"156" 65701 64.63
"157" 65384 65.09
"158" 63933 53.33
"159" 62708 43.22
"160" 62993 40.92
"161" 65130 53.1
"162" 69369 79.92
"163" 69055 69.94
"164" 66410 54.71
"165" 62546 44.09
"166" 61073 43.29
"167" 62595 60.02
"168" 60077 42.78
"169" 56827 41
"170" 53772 36.04
"171" 51813 35.12
"172" 50900 32.91
"173" 49878 32.6
"174" 48222 30.55
"175" 45098 23.69
"176" 46412 27.41
"177" 49466 27.08
"178" 53751 32.54
"179" 57166 36.91
"180" 60675 49.41
"181" 59986 45.05
"182" 57593 36.93
"183" 56001 34.62
"184" 55432 34.01
"185" 58013 35.27
"186" 64323 45.02
"187" 66263 47.9
"188" 65394 49.95
"189" 62539 49.15
"190" 62299 46.93
"191" 64262 55.5
"192" 61081 45
"193" 58182 37.93
"194" 56318 34.46
"195" 55234 33.93
"196" 54782 31.28
"197" 55416 31.02
"198" 58685 34.46
"199" 64828 41.02
"200" 74733 90.33
"201" 76216 96.34
"202" 77141 96.96
"203" 75370 92.57
"204" 72640 68.06
"205" 71996 66.4
"206" 68147 52.42
"207" 65418 48.31
"208" 64089 42.06
"209" 63075 42.08
"210" 62063 35.35
"211" 62231 35.35
"212" 62827 43.95
"213" 69150 64.94
"214" 79145 96.98
"215" 78653 96.91
"216" 77817 95.02
"217" 77280 92.96
"218" 77958 95.79
"219" 79491 95.97
"220" 75451 90.03
"221" 73090 66.32
"222" 72707 65.05
"223" 68692 47.83
"224" 65519 45.88
"225" 63621 41.22
"226" 62172 39.75
"227" 61363 33.08
"228" 61641 37.16
"229" 63954 41.17
"230" 69976 42.11
"231" 77732 86.55
"232" 79715 95.11
"233" 79136 93
"234" 79679 92.96
"235" 80172 92.95
"236" 79575 92.77
"237" 78835 92.97
"238" 78190 92.73
"239" 77892 90.05
"240" 79422 90.06
"241" 83359 95.19
"242" 82502 98.53
"243" 79686 93.81
"244" 75391 82.46
"245" 72936 70.84
"246" 72090 68.08
"247" 67467 51.16
"248" 64217 40.43
"249" 61926 51.95
"250" 60379 40.06
"251" 59624 35.73
"252" 60057 35.34
"253" 62089 39.5
"254" 68485 58.79
"255" 77658 92.77
"256" 77190 89.96
"257" 77939 93.99
"258" 74818 94.18
"259" 72389 72.06
"260" 71606 68.99
"261" 67143 50.06
"262" 63455 45.46
"263" 61629 46.09
"264" 60391 38.77
"265" 59634 36.98
"266" 60284 37.32
"267" 62343 37.94
"268" 68685 51.71
"269" 76604 88.16
"270" 79683 93.96
"271" 78850 88.12
"272" 77277 75.07
"273" 75716 66.36
"274" 74871 63.09
"275" 76278 64.89
"276" 81241 88.18
"277" 80866 88.18
"278" 77699 82.43
"279" 72833 67.79
"280" 70734 51.91
"281" 71200 45.17
"282" 68310 38.24
"283" 65659 57.88
"284" 63643 42.12
"285" 62172 38.01
"286" 60449 37.37
"287" 59190 35.93
"288" 57530 30.17
"289" 55515 27.84
"290" 58729 39.47
"291" 62535 48.05
"292" 65672 55.84
"293" 67561 65
"294" 68398 69.99
"295" 67441 66.83
"296" 65314 52.97
"297" 63511 46.04
"298" 62996 41.72
"299" 64401 44.75
"300" 70701 69.9
"301" 71377 84.99
"302" 68786 76.51
"303" 64886 52.97
"304" 63478 45.25
"305" 65276 55.78
"306" 62788 41.89
"307" 60002 47.07
"308" 57622 40.69
"309" 56164 36.36
"310" 54811 34.93
"311" 53772 34.76
"312" 51744 32.04
"313" 48003 21.91
"314" 49288 26.31
"315" 53016 30.54
"316" 57370 35.91
"317" 60577 39.64
"318" 63251 44.91
"319" 61905 43.93
"320" 59489 37.07
"321" 57709 33.12
"322" 57024 29.87
"323" 58837 34.54
"324" 65894 52.82
"325" 68301 67.04
"326" 67268 62.66
"327" 64899 40.89
"328" 64545 41.24
"329" 66936 45.53
"330" 64408 42.85
"331" 62123 42.4
"332" 60663 38.55
"333" 59179 37.65
"334" 57990 35.65
"335" 58266 35.27
"336" 61797 37.92
"337" 69103 43.31
"338" 77627 94.07
"339" 79654 92.93
"340" 79475 92.78
"341" 79781 92.91
"342" 79914 92.99
"343" 79495 90.25
"344" 78985 90.09
"345" 78064 90.04
"346" 77216 86.16
"347" 77146 90
"348" 82263 93.94
"349" 82629 94.12
"350" 80156 92.99
"351" 76468 82.78
"352" 73662 61.79
"353" 73026 62.38
"354" 69030 48.98
"355" 65845 43.49
"356" 64156 35.83
"357" 62717 34.41
"358" 61789 32.32
"359" 61973 33.32
"360" 64246 33.33
"361" 70521 42.86
"362" 78701 74.25
"363" 80878 86.15
"364" 80836 91
"365" 81550 90.82
"366" 82464 87.26
"367" 81894 79.36
"368" 81308 79.66
"369" 80868 82.56
"370" 80644 79.63
"371" 80795 82.51
"372" 83887 91.02
"373" 83204 92.27
"374" 80637 85.07
"375" 76144 71.01
"376" 73577 57.82
"377" 72159 50.15
"378" 67432 43.45
"379" 63866 41.04
"380" 61799 33.44
"381" 60328 35.61
"382" 59966 38.21
"383" 61160 34.88
"384" 63845 38.4
"385" 70396 49.51
"386" 78052 77.99
"387" 79931 88.39
"388" 79708 86.33
"389" 80454 88.39
"390" 81511 90.05
"391" 80497 85.02
"392" 79958 85.02
"393" 79148 84
"394" 78546 80.84
"395" 78461 84.49
"396" 82082 97.19
"397" 79386 91.05
"398" 75113 83.92
"399" 72711 68.07
"400" 71446 61.62
"401" 67102 52.29
"402" 63410 47.78
"403" 61750 44.8
"404" 60662 41.74
"405" 60188 33.54
"406" 60830 33.55
"407" 62911 38.21
"408" 69092 47.75
"409" 77029 80.82
"410" 78818 88.98
"411" 78261 88.94
"412" 78905 88.96
"413" 79688 90.21
"414" 78852 87.29
"415" 78388 83.38
"416" 77862 75.51
"417" 77249 75.86
"418" 77329 79.81
"419" 81540 88.95
"420" 81923 88.7
"421" 79529 85.2
"422" 74959 68.48
"423" 71962 59.01
"424" 71441 49.08
"425" 67154 41.85
"426" 62811 46.96
"427" 60914 43.11
"428" 59828 36.07
"429" 59122 37.46
"430" 59659 38.18
"431" 62133 38.32
"432" 68745 46.53
"433" 76779 84.81
"434" 79290 87.1
"435" 78870 84.65
"436" 79983 85.33
"437" 80849 84.01
"438" 79495 78.98
"439" 77759 78.17
"440" 76243 65.67
"441" 75368 62.48
"442" 76015 59.16
"443" 80179 76.86
"444" 79971 82.59
"445" 76745 61.29
"446" 72142 55.04
"447" 70007 46.75
"448" 70198 45.96
"449" 66152 37.31
"450" 62466 38.64
